,id,title,keywords,genres,director,producer,compositor,actor_1,actor_2,actor_3
99,11,Star Wars,android galaxy hermit death star lightsaber jedi rescue mission empire rebellion planet smuggler the force space opera galactic war stormtrooper totalitarianism,Adventure Action Science Fiction,George Lucas,Gary Kurtz,John Williams,Mark Hamill,Harrison Ford,Carrie Fisher
100,694,The Shining,hotel montana isolation hotelier oregon colorado maze bartender ax delusion loneliness caretaker vision snow writer alcoholic cult film snowed in off season,Horror Thriller,Stanley Kubrick,Stanley Kubrick,Wendy Carlos,Jack Nicholson,Shelley Duvall,Danny Lloyd
101,110420,Wolf Children,japan forest growing up children rural setting single mother farming community farming furries anime,Animation Drama Family Fantasy,Mamoru Hosoda,Takuya Itō,,Aoi Miyazaki,Takao Osawa,Haru Kuroki
102,77,Memento,individual insulin tattoo waitress amnesia motel insurance salesman revenge flashback confusion memory loss los angeles polaroid cult film nonlinear timeline individuality neo-noir,Mystery Thriller,Christopher Nolan,Jennifer Todd,David Julyan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano
103,429210,Bingo: The King of the Mornings,television clown fame 1980s,Comedy Drama,Daniel Rezende,Caio Gullane,,Vladimir Brichta,Leandra Leal,Tainá Müller
104,490,The Seventh Seal,chess countryside witch blacksmith allegory symbolism artist last judgment pest crusade juggler burning of witches sense of life dying and death demon black death death personified death incarnate 14th century,Fantasy Drama,Ingmar Bergman,Allan Ekelund,Erik Nordgren,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot
105,239,Some Like It Hot,chicago florida witness musician mafia cross dressing train band spats all girl band st. valentine's day massacre sugar valentine's day dressing,Comedy Romance,Billy Wilder,Billy Wilder,Adolph Deutsch,Marilyn Monroe,Tony Curtis,Jack Lemmon
106,705,All About Eve,jealousy obsession manipulation fan engagement celebrity party playwright hollywood black and white director relationship insecurity envy broadway critic based on short story theatre broadway star,Drama,Joseph L. Mankiewicz,Darryl F. Zanuck,Alfred Newman,Bette Davis,Anne Baxter,George Sanders
107,505262,My Hero Academia: Two Heroes,japan superhero school super power shounen anime,Animation Action Comedy Fantasy Adventure,Kenji Nagasaki,Kazumasa Sanjôba,,Kenta Miyake,Daiki Yamashita,Mirai Shida
108,185,A Clockwork Orange,prison street gang rape adolescence sexuality beethoven based on novel or book parent child relationship great britain social worker living together society dystopia satire controversy controversial violence cult film futuristic society,Science Fiction Drama,Stanley Kubrick,Stanley Kubrick,Wendy Carlos,Malcolm McDowell,Patrick Magee,Adrienne Corri
109,833,Umberto D.,rome italy servant hunger despair retiree unsociability pension rent old man hospital dog landlady elderly neo realism italian neo realism,Drama,Vittorio De Sica,Giuseppe Amato,Alessandro Cicognini,Carlo Battisti,Lina Gennari,Ileana Simova
110,19542,The Red Shoes,london composer dance performance new love dance ballet dancer music lover ballet red shoes,Drama Romance,Michael Powell,Michael Powell,,Moira Shearer,Adolf Wohlbrück,Marius Goring
111,399106,Piper,bird fear short,Family Animation,Alan Barillaro,Marc Sondheimer,,,,
112,996,Double Indemnity,suicide insurance salesman insurance fraud step daughter train accident marriage femme fatale murder double cross film noir,Crime Drama Mystery Thriller,Billy Wilder,Joseph Sistrom,Miklós Rózsa,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson
113,9764,Dersu Uzala,map hermit exploration tiger getting lost friendship trapper stadt russian soldier nature siberia 1910s,Action Adventure Drama,Akira Kurosawa,Yôichi Matsue,Isaak Shvarts,Yuriy Solomin,Maksim Munzuk,Aleksandr Pyatkov
114,10494,Perfect Blue,japan career stalker singer animation female protagonist split personality j-pop anime,Animation Thriller,Satoshi Kon,Hiroaki Inoue,,Junko Iwao,Rica Matsumoto,Shinpachi Tsuji
115,548,Rashomon,japan rape samurai rain woodcutter medium sunlight court case dying and death court truth criminal based on short story multiple perspectives,Crime Drama Mystery,Akira Kurosawa,Minoru Jingo,Fumio Hayasaka,Toshirō Mifune,Machiko Kyō,Masayuki Mori
116,527641,Five Feet Apart,forbidden love falling in love cystic fibrosis star crossed lovers true love,Romance Drama,Justin Baldoni,Justin Baldoni,,Haley Lu Richardson,Cole Sprouse,Moisés Arias
